"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2026","4,506.55","4,473.51","4,602.64","4,456.13","","0.72%"
"03/24/2026","4,474.44","4,413.83","4,484.27","4,306.15","","1.52%"
"03/23/2026","4,407.62","4,491.66","4,536.32","4,098.87","","-1.86%"
"03/20/2026","4,491.15","4,649.68","4,736.16","4,477.82","","-3.45%"
"03/19/2026","4,651.73","4,825.59","4,867.56","4,503.08","","-3.47%"
"03/18/2026","4,818.81","5,006.76","5,017.54","4,806.80","","-3.74%"
"03/17/2026","5,006.00","5,006.18","5,044.84","4,973.75","","-0.01%"
"03/16/2026","5,006.43","5,019.26","5,038.38","4,967.50","","-0.26%"
"03/13/2026","5,019.25","5,080.70","5,129.13","5,009.51","","-1.20%"
"03/12/2026","5,080.07","5,177.38","5,194.79","5,054.67","","-1.87%"
"03/11/2026","5,177.07","5,189.84","5,223.62","5,149.95","","-0.31%"
"03/10/2026","5,192.94","5,139.30","5,238.70","5,117.84","","1.04%"
"03/09/2026","5,139.56","5,180.45","5,199.37","5,014.73","","-0.61%"
"03/06/2026","5,171.12","5,077.43","5,175.06","5,062.89","","1.85%"
"03/05/2026","5,077.39","5,135.96","5,196.15","5,050.84","","-1.14%"
"03/04/2026","5,135.92","5,087.96","5,206.36","5,083.45","","0.95%"
"03/03/2026","5,087.47","5,327.55","5,380.41","4,996.19","","-4.50%"
"03/02/2026","5,327.42","5,301.75","5,419.25","5,261.37","","0.94%"
"02/27/2026","5,277.90","5,187.61","5,279.56","5,166.54","","1.75%"
"02/26/2026","5,187.26","5,171.00","5,205.90","5,130.73","","0.31%"
"02/25/2026","5,171.16","5,148.27","5,218.16","5,127.21","","0.45%"
"02/24/2026","5,148.18","5,231.55","5,249.96","5,094.50","","-1.59%"
"02/23/2026","5,231.55","5,102.84","5,238.14","5,102.38","","2.49%"
"02/20/2026","5,104.34","4,999.34","5,105.45","4,981.38","","2.10%"
"02/19/2026","4,999.35","4,979.45","5,022.36","4,960.47","","0.40%"
"02/18/2026","4,979.45","4,877.71","5,011.07","4,854.15","","2.09%"
"02/17/2026","4,877.70","4,992.48","5,001.10","4,842.50","","-2.30%"
"02/16/2026","4,992.37","5,040.75","5,041.65","4,966.64","","-1.01%"
"02/13/2026","5,043.11","4,920.27","5,047.93","4,888.71","","2.50%"
"02/12/2026","4,920.32","5,079.04","5,100.25","4,879.05","","-3.12%"
"02/11/2026","5,078.96","5,023.46","5,119.24","5,020.68","","1.10%"
"02/10/2026","5,023.47","5,065.32","5,078.84","4,987.54","","-0.83%"
"02/09/2026","5,065.55","4,960.97","5,086.85","4,960.17","","2.10%"
"02/06/2026","4,961.15","4,770.55","4,971.99","4,655.49","","3.99%"
"02/05/2026","4,770.95","4,963.74","5,024.12","4,760.05","","-3.88%"
"02/04/2026","4,963.60","4,939.34","5,092.68","4,854.81","","0.49%"
"02/03/2026","4,939.33","4,665.16","4,994.28","4,648.50","","5.85%"
"02/02/2026","4,666.27","4,799.72","4,885.08","4,404.12","","-4.09%"
"01/30/2026","4,865.35","5,395.58","5,451.20","4,681.94","","-9.83%"
"01/29/2026","5,395.88","5,399.91","5,595.46","5,110.73","","-0.08%"
"01/28/2026","5,400.25","5,189.63","5,401.62","5,157.35","","4.06%"
"01/27/2026","5,189.62","5,014.85","5,190.56","5,006.20","","3.47%"
"01/26/2026","5,015.34","5,007.11","5,111.40","4,989.85","","0.65%"
"01/23/2026","4,982.91","4,936.75","4,989.93","4,899.72","","0.94%"
"01/22/2026","4,936.75","4,836.95","4,941.25","4,772.38","","2.07%"
"01/21/2026","4,836.67","4,763.53","4,888.22","4,755.70","","1.54%"
"01/20/2026","4,763.49","4,671.02","4,766.46","4,659.34","","1.98%"
"01/19/2026","4,671.02","4,630.80","4,690.80","4,629.80","","1.65%"
"01/16/2026","4,595.10","4,614.90","4,621.27","4,537.15","","-0.43%"
"01/15/2026","4,614.91","4,620.83","4,632.65","4,581.05","","-0.13%"
"01/14/2026","4,620.83","4,588.05","4,643.06","4,585.32","","0.72%"
"01/13/2026","4,588.00","4,593.89","4,634.76","4,569.45","","-0.13%"
"01/12/2026","4,594.00","4,519.45","4,630.47","4,513.57","","1.85%"
"01/09/2026","4,510.45","4,476.71","4,517.40","4,452.62","","0.75%"
"01/08/2026","4,476.73","4,453.04","4,479.80","4,407.48","","0.53%"
"01/07/2026","4,453.04","4,497.33","4,500.65","4,423.47","","-0.99%"
"01/06/2026","4,497.34","4,448.56","4,497.54","4,427.25","","1.10%"
"01/05/2026","4,448.47","4,356.12","4,456.05","4,345.88","","2.72%"
"01/02/2026","4,330.50","4,333.00","4,402.53","4,310.01","","-0.41%"
