2022.10.10,00:00,1696.732,1697.270,1665.697,1670.169,67103
2022.10.11,00:00,1670.138,1683.917,1660.905,1664.074,77745
2022.10.12,00:00,1664.053,1678.301,1661.418,1674.520,74773
2022.10.13,00:00,1674.497,1682.397,1642.407,1663.479,81892
2022.10.14,00:00,1663.455,1671.732,1640.196,1644.304,76882
2022.10.16,00:00,1646.200,1647.693,1644.132,1647.508,3473
2022.10.17,00:00,1647.493,1668.426,1646.399,1650.736,66706
2022.10.18,00:00,1650.768,1660.890,1645.883,1652.343,70467
2022.10.19,00:00,1652.341,1653.394,1626.515,1627.135,68878
2022.10.20,00:00,1627.102,1645.607,1622.440,1627.018,71895
2022.10.21,00:00,1627.017,1658.125,1616.999,1657.883,84067
2022.10.23,00:00,1660.012,1670.697,1656.653,1661.289,8532
2022.10.24,00:00,1661.257,1663.309,1643.941,1651.779,80124
2022.10.25,00:00,1651.811,1662.318,1638.196,1652.792,107140
2022.10.26,00:00,1652.803,1674.871,1649.770,1667.550,110095
2022.10.27,00:00,1667.561,1670.791,1654.835,1661.900,122421
2022.10.28,00:00,1661.899,1667.029,1637.909,1644.635,109871
2022.10.30,00:00,1643.764,1645.411,1643.040,1643.484,4695
2022.10.31,00:00,1643.451,1645.597,1631.714,1632.454,86309
2022.11.01,00:00,1632.457,1657.007,1630.726,1646.809,109492
2022.11.02,00:00,1646.842,1669.466,1631.837,1633.758,135734
2022.11.03,00:00,1633.756,1640.948,1616.662,1629.775,115069
2022.11.04,00:00,1629.808,1681.703,1629.353,1681.003,132871
2022.11.06,00:00,1675.205,1680.347,1672.314,1672.698,5337
2022.11.07,00:00,1672.736,1681.903,1666.889,1674.109,103118
2022.11.08,00:00,1674.121,1716.938,1664.703,1711.624,118533
2022.11.09,00:00,1711.620,1722.328,1702.161,1706.487,124423
2022.11.10,00:00,1706.506,1757.234,1704.018,1752.234,145434
2022.11.11,00:00,1752.229,1772.897,1747.268,1771.029,129496
2022.11.13,00:00,1763.525,1764.928,1761.460,1763.476,4143
2022.11.14,00:00,1763.484,1775.044,1753.176,1769.519,114634
2022.11.15,00:00,1769.553,1786.509,1767.084,1780.783,154433
2022.11.16,00:00,1780.811,1785.030,1770.309,1773.881,121894
2022.11.17,00:00,1773.899,1774.799,1754.480,1760.095,111274
2022.11.18,00:00,1760.063,1767.711,1747.524,1750.890,93371
2022.11.20,00:00,1751.234,1752.633,1750.906,1752.299,2432
2022.11.21,00:00,1752.293,1753.024,1732.510,1738.543,101153
2022.11.22,00:00,1738.551,1749.671,1737.046,1741.176,89702
2022.11.23,00:00,1741.178,1753.416,1726.544,1752.308,106098
2022.11.24,00:00,1752.340,1758.603,1752.334,1755.307,62916
2022.11.25,00:00,1755.412,1761.157,1745.984,1756.090,74200
