2025.11.24,21:00,4132.630,4140.070,4130.157,4134.110,6068
2025.11.24,23:00,4134.347,4144.435,4125.162,4143.834,19086
2025.11.25,00:00,4143.826,4144.633,4127.636,4129.631,19429
2025.11.25,01:00,4129.583,4139.226,4122.548,4134.833,27595
2025.11.25,02:00,4134.778,4155.844,4132.760,4150.951,20480
2025.11.25,03:00,4150.999,4151.067,4139.584,4143.076,16748
2025.11.25,04:00,4143.050,4148.441,4139.477,4140.831,11412
2025.11.25,05:00,4140.869,4152.060,4140.869,4150.912,12401
2025.11.25,06:00,4150.945,4152.087,4138.566,4141.629,17970
2025.11.25,07:00,4141.595,4146.109,4130.301,4132.625,16610
2025.11.25,08:00,4132.577,4139.546,4109.180,4116.069,20417
2025.11.25,09:00,4116.182,4131.431,4113.838,4128.472,18599
2025.11.25,10:00,4128.445,4138.906,4127.528,4131.235,13811
2025.11.25,11:00,4131.203,4137.402,4127.761,4133.499,12522
2025.11.25,12:00,4133.536,4138.833,4116.021,4129.895,21460
2025.11.25,13:00,4129.930,4150.868,4129.416,4147.716,23362
2025.11.25,14:00,4147.746,4148.766,4111.058,4125.238,37341
2025.11.25,15:00,4125.290,4133.866,4117.929,4123.154,26131
2025.11.25,16:00,4123.116,4141.437,4122.132,4136.303,18286
2025.11.25,17:00,4136.278,4159.522,4136.001,4146.127,30981
2025.11.25,18:00,4146.160,4151.020,4132.561,4134.342,18594
2025.11.25,19:00,4134.384,4140.396,4128.480,4133.787,16180
2025.11.25,20:00,4133.821,4138.443,4130.522,4132.327,13743
2025.11.25,21:00,4132.281,4132.515,4127.653,4130.792,6679
2025.11.25,23:00,4132.719,4137.079,4129.802,4133.754,7235
2025.11.26,00:00,4133.833,4144.457,4132.619,4142.808,10642
2025.11.26,01:00,4142.847,4152.938,4138.520,4148.565,16479
2025.11.26,02:00,4148.518,4166.794,4147.279,4161.662,19320
2025.11.26,03:00,4161.655,4169.445,4160.371,4166.128,11313
2025.11.26,04:00,4166.086,4167.105,4156.529,4161.966,10012
2025.11.26,05:00,4162.014,4168.718,4160.120,4162.279,12421
2025.11.26,06:00,4162.249,4162.879,4146.622,4150.152,15270
2025.11.26,07:00,4150.184,4161.501,4149.259,4157.333,12340
2025.11.26,08:00,4157.304,4168.620,4154.756,4161.131,16578
2025.11.26,09:00,4161.139,4164.631,4156.638,4162.765,12274
2025.11.26,10:00,4162.799,4165.207,4156.162,4159.913,12962
2025.11.26,11:00,4159.954,4173.159,4157.787,4171.580,12535
2025.11.26,12:00,4171.601,4173.619,4148.768,4155.211,20797
2025.11.26,13:00,4155.290,4166.668,4149.076,4153.234,22359
2025.11.26,14:00,4153.298,4157.022,4139.848,4142.238,31052
2025.11.26,15:00,4142.209,4165.834,4136.532,4165.270,26478
2025.11.26,16:00,4165.310,4168.476,4160.710,4167.029,17373
2025.11.26,17:00,4167.061,4169.845,4165.115,4167.136,11739
2025.11.26,18:00,4167.179,4171.767,4158.047,4164.636,16947
2025.11.26,19:00,4164.680,4169.874,4162.395,4163.278,10434
2025.11.26,20:00,4163.329,4167.520,4161.348,4164.030,11345
2025.11.26,21:00,4164.069,4167.590,4162.243,4163.995,5501
2025.11.26,23:00,4164.706,4168.968,4162.619,4165.036,7032
2025.11.27,00:00,4164.989,4167.337,4161.959,4164.614,6838
2025.11.27,01:00,4164.593,4165.463,4148.750,4154.298,19669
2025.11.27,02:00,4154.332,4156.239,4144.515,4145.431,13789
2025.11.27,03:00,4145.534,4150.660,4144.169,4147.488,9996
2025.11.27,04:00,4147.444,4154.624,4142.625,4150.923,9445
2025.11.27,05:00,4150.879,4154.667,4144.776,4147.247,9636
2025.11.27,06:00,4147.211,4159.209,4147.132,4157.496,13085
2025.11.27,07:00,4157.471,4162.276,4155.544,4160.033,12979
2025.11.27,08:00,4160.083,4167.205,4159.619,4165.826,11636
2025.11.27,09:00,4165.787,4165.890,4148.285,4158.720,14498
2025.11.27,10:00,4158.754,4160.628,4152.312,4156.503,10409
2025.11.27,11:00,4156.456,4162.542,4155.806,4157.376,8447
